43430, -6.70664, -17.5148, -2.28552;
43430, 8.35552, -9.87281, -5.7944;
43446, -13.4949, -7.3839, 14.4083;
43461, 19.3329, -12.3889, -2.35724;
43477, 17.9822, -11.607, -3.99374;
43492, 13.6444, 0.973724, 3.66833;
44054, -9.22552, -24.6699, 4.39943;
44070, -4.66581, 10.3233, 18.9395;
46612, -4.57788, 32.5649, 34.6521;
46628, -3.84223, 7.1499, -20.556;
46644, 4.88905, 14.0231, -6.79108;
46659, -7.08757, -6.58484, -5.76201;
46675, -21.6645, 1.37985, 5.03453;
46675, -0.584562, -3.67432, -20.2137;
46690, 8.38595, 3.20036, 6.58084;
46706, 8.27056, 6.06771, 8.1382;
46722, 0.632294, 13.8061, 4.1618;
46737, -2.488, -11.6964, -11.8949;
46753, -2.34091, 6.6376, -11.8308;
46753, -1.08292, -7.18272, -3.94026;
46768, -12.1986, 3.17047, -8.08231;
46784, -16.6469, 11.4372, -0.959839;
46800, -21.2691, -4.14429, -15.5391;
46815, 11.6744, 20.2648, 0.0529938;
46831, 7.97428, 10.2422, -5.44844;
46831, 3.23368, 3.01541, 6.28868;
49608, 11.8859, -23.8831, 28.7618;
49623, 1.17073, -25.5806, -10.498;
49639, 9.13543, -14.3627, 13.2743;
49654, 1.85625, 2.15099, -5.50034;
49670, -7.76528, -9.87311, -7.09909;
49686, 0.289997, -18.7708, -30.5381;
49686, 2.57907, 9.30972, -1.47046;
49701, 4.9873, -22.773, -9.63663;
49717, 13.79, 5.90916, -21.4106;
49732, 13.4293, 5.95897, 2.46942;
49748, 4.88181, 7.08871, 14.5637;
49764, 18.4782, -7.42199, -12.619;
49779, -24.2326, -12.451, -1.13184;
49779, -2.75282, 15.369, -26.7236;
49795, 5.40002, -53.487, 16.298;
49810, 6.82773, -25.274, 33.9671;
49826, -12.9739, 13.3073, 2.03268;
49842, -2.85976, 38.2089, -15.5549;
49857, -19.0162, -7.20712, -4.21899;
49873, 3.3236, -3.6704, 15.9358;
49888, 13.9136, -11.2026, 20.5818;
49904, -23.1925, -19.7334, -17.0175;
49904, 13.4892, -16.5785, 12.2498;
49920, -9.53565, 11.6276, 22.1969;
49935, -3.14586, 2.6924, -20.0615;
49951, 4.32544, 3.06679, -11.1071;
49966, -6.89529, 37.2567, 0.404831;
49982, -1.6016, 12.0213, -5.85257;
49998, -6.26728, -0.624557, -6.99893;
50013, -12.3743, 3.56615, 11.3844;
50029, -1.51831, 2.98859, 24.2797;
50029, -32.3296, 4.38701, 33.4986;
50044, -11.3382, -22.5425, -13.0702;
50060, -8.21778, 18.4449, 19.959;
50076, -12.4442, 11.5999, 5.35397;
50091, -3.87719, 13.6643, -6.99554;
50107, -10.7315, -6.57503, -24.5264;
50107, -4.26385, 23.9851, 12.3036;
50122, 28.3227, 13.1624, -11.2619;
50138, -0.535431, -10.4761, 13.5548;
53398, -39.6524, -7.05942, 10.4718;
53414, -2.85624, 3.04314, -13.9548;
53414, 7.03049, 6.02015, 9.14941;
53430, 11.1755, 8.44324, 4.48364;
53445, 9.97963, 6.58598, 0.425903;
53461, 6.7261, -21.0412, 6.02945;
53476, 11.6694, 29.1565, -16.4938;
53492, 26.871, -3.45219, -7.75269;
53508, -16.7084, -1.2095, 0.564996;
53523, 88.5915, 15.091, -40.0951;
53539, 13.3643, -13.9871, 20.2261;
53539, -2.11218, -1.26311, -2.17508;
53554, 35.9286, -3.52954, 24.0206;
53570, -1.25772, -4.07434, 7.10675;
53586, -0.246788, -23.3271, -10.6617;
53601, -1.54827, -22.0243, -4.87155;
53617, -3.84371, -8.42582, -9.75974;
53632, -23.3493, -18.215, 5.7431;
53648, 9.39568, 4.75031, -19.1795;
53648, -0.206619, -0.746044, -14.3549;
53664, -3.37812, -0.561668, -0.830444;
53679, 2.18099, 21.1606, -13.368;
53695, 6.56903, 9.26546, -15.1395;
53710, -18.3502, -13.3774, -2.00531;
53726, 21.8164, 15.1499, 8.50978;
53742, 14.3492, -2.50987, 3.08026;
53757, 4.12433, -2.94536, 13.8584;
53773, -23.3188, 3.76709, 0.797218;
53773, -14.7803, -8.24641, -24.8645;
53788, -6.2355, -39.1014, 41.9938;
53804, 7.50719, 4.94258, -8.80286;
53820, -9.41251, 10.5779, -9.95764;
58843, 13.5864, 4.49086, -9.23312;
58858, 0.99435, 10.0842, 4.00763;
58858, -13.444, -8.06339, -21.472;
58874, -23.5561, -8.49875, -13.886;
58890, -19.8328, -2.77274, 1.09393;
58905, 6.0736, -12.4513, 18.804;
